诗词,作者,朝代
钱氏池上芙蓉,文徵明,明代
咏院中丛竹,吕太一,唐代
咏荔枝,丘浚,明代
柳絮,薛涛,唐代
石竹咏,王绩,唐代
长亭怨慢·雁,朱彝尊,清代
解连环·柳,高观国,宋代
一枝花·咏喜雨,张养浩,元代
花心动·柳,吴文英,宋代
天香·蜡梅,吴文英,宋代
满庭芳·茉莉花,柳永,宋代
探春,黄庶,宋代
对雪,王禹偁,宋代
咏孤石,高丽定法师,南北朝
渡海至琼管天宁寺咏阇提花三首,李纲,宋代
孤桐,王安石,宋代
杏花天·咏汤,吴文英,宋代
满庭芳·咏茶,米芾,宋代
使院中新栽柏树子呈李十五栖筠,岑参,唐代
生查子·软金杯,金章宗,宋代
满江红·仙姥来时,姜夔,宋代
满江红·雨后荒园,段克己,金朝
【南吕】干荷叶八首,刘秉忠,元代
水龙吟·浮翠山房拟赋白莲,唐玨,宋代
新楼诗二十首·北楼樱桃花,李绅,唐代
卜算子·古涧一枝梅,朱敦儒,宋代
五粒小松歌,李贺,唐代
夹竹桃花·咏题,曹勋,宋代
浪淘沙·赋虞美人草,辛弃疾,宋代
新竹,元稹,唐代
蓬莱三殿侍宴奉敕咏终南山应制,杜审言,唐代
鹭鸶,郑谷,唐代
莲蓬人,鲁迅,近现代
蝶恋花·几股湘江龙骨瘦,金章宗,宋代
过秦楼·黄钟商芙蓉,吴文英,宋代
一剪梅·一剪梅花万样娇,周邦彦,宋代
鹦鹉,方孝孺,明代
喜迁莺·暑风凉月,辛弃疾,宋代
巽上人以竹间自采新茶见赠酬之以诗,柳宗元,唐代
咏傀儡,杨亿,宋代
水龙吟·白莲,张炎,宋代
满江红·刘朔斋赋菊和韵,吴文英,宋代
古树,杜濬,清代
除夜自石湖归苕溪·其一,姜夔,宋代
咏竹五首,憨山德清,明代
望山,贾岛,唐代
北禽,李商隐,唐代
早蝉,白居易,唐代
最高楼·咏梅,陈亮,宋代
莺啼序·荷和赵修全韵,吴文英,宋代
松,成彦雄,宋代
咏蕙诗,繁钦,魏晋
梅花绝句,陆游,宋代
杨花,吴融,唐代
咏归堂隐鳞洞,王汝舟,宋代
蜡梅,尤袤,宋代
四月十一日初食荔支,苏轼,宋代
咏舞诗,王暕,南北朝
梅花,宸濠翠妃,明代
归舟江行望燕子矶作,厉鹗,清代
牡丹赋,舒元舆,唐代
凄凉犯·重台水仙,吴文英,宋代
五月水边柳,崔护,唐代
栀子花诗,沈周,明代
诉衷情·小梅风韵最妖娆,晏几道,宋代
蝶恋花·一朵江梅春带雪,赵鼎,宋代
感遇诗三十八首·其二十三,陈子昂,唐代
柳花词三首,刘禹锡,唐代
咏架上鹰,崔铉,唐代
咏瀑布,冯云山,清代
齐天乐·蝉,仇远,元代
感遇诗三十八首·其一,陈子昂,唐代
咏石榴花,王安石,宋代
幽兰,崔涂,唐代
咏新荷应诏,沈约,南北朝
杭州开元寺牡丹,张祜,唐代
月季花,张新,明代
牡丹吟,邵雍,宋代
檄英王鸡,王勃,唐代
薛宝钗·雪竹,环山樵,清代
奉同张敬夫城南二十咏,朱熹,宋代
姑孰十咏,李白,唐代
桃花,吴融,唐代
祝英台近·荷花,高观国,宋代
咏鸳鸯,李远,唐代
画竹歌,白居易,唐代
读山海经十三首·其五,陶渊明,魏晋
咏舞,虞世南,唐代
咏竹,刘孝先,南北朝
杨柳八首·其三,温庭筠,唐代
雪,李峤,唐代
木假山记,苏洵,宋代
读山海经十三首·其四,陶渊明,魏晋
咏雁,李远,唐代
三闾庙,汪遵,唐代
箕山,汪遵,唐代
观第五泄记,袁宏道,明代
落叶,王建,唐代
咏石牛,李白,唐代
梅花,张道洽,宋代
极相思·题陈藏一水月梅扇,吴文英,宋代
燕来,韦庄,唐代
横波亭,元好问,金朝
州宅堂前荷花,范成大,宋代
夜合花,纳兰性德,清代
蝶恋花·落落盘根真得地,王国维,近现代
江梅引·忆江梅,洪皓,宋代
咏省壁画鹤,宋之问,唐代
水龙吟·咏月,晁端礼,宋代
咏主人壁上画鹤寄乔主簿崔著作,陈子昂,唐代
慧庆寺玉兰记,戴名世,清代
咏檐前竹,沈约,南北朝
咏贺兰山,胡秉正,清代
芙蕖,李渔,清代
任光禄竹溪记,唐顺之,明代
咏牡丹,俞大猷,明代
巽公院五咏,柳宗元,唐代
题友人云母障子,王维,唐代
咏瓢,张说,唐代
穷鸟赋,赵壹,两汉
水龙吟·赋张斗墅家古松五粒,吴文英,宋代
桂枝香·观木樨有感寄吕郎中,陈亮,宋代
江城子·嫩黄初染绿初描,谭宣子,宋代
古香慢·赋沧浪看桂,吴文英,宋代
咏湖中雁,沈约,南北朝
花马池咏,崔允,明代
咏甘蔗,佚名,清代
鹊,韩偓,唐代
浣溪沙·桂,吴文英,宋代
鹤,杜牧,唐代
风流子·黄钟商芍药,吴文英,宋代
咏黄莺儿,郑愔,唐代
丁公默送蝤蛑,苏轼,宋代
菩萨蛮·题梅扇,周纯,宋代
答李滁州题庭前石竹花见寄,独孤及,唐代
庆清朝·榴花,王沂孙,宋代
咏鹦鹉,僧定渚,宋代
阳春曲·赠海棠,徐再思,元代
柳絮,刘筠,宋代
谢判官幽谷种花,欧阳修,宋代
梅花,汪中,清代
咏乌,李义府,唐代
芙蓉亭,柳宗元,唐代
同蔡孚起居咏鹦鹉,胡皓,唐代
烛影摇红·赋德清县圃古红梅,吴文英,宋代
鲁从事清晖阁,穆修,宋代
虞美人影·咏香橙,吴文英,宋代
和元八侍御升平新居四绝句·松树,白居易,唐代
杨柳枝词九首·其四,刘禹锡,唐代
咏壁鱼,李远,唐代
杖铭,刘向,两汉
金缕曲·疏影临书卷,纳兰性德,清代
咏百八塔,俞益谟,清代
题张十一旅舍三咏·井,韩愈,唐代
赋得蝉,褚沄,南北朝
